review,rating,date
oke,5,2026-05-21 06:17:49
baik,5,2026-05-21 05:55:53
"setelah hampir 3 bulan saya ga buka m banking kenapa saat mau buka lagi selalu kendala sinyal padahal WiFi dirumah kuat dan ketika di refresh selalu muncul ""ADA SEDIKIT KENDALA""? WHYYY orang mau transaksi jadi terhambat dan ini sudH lebih dari 2 Minggu tidak bisa dibuka sampai saya uninstall. tolong diperbaiki sistemnya",2,2026-05-21 05:50:26
mantabb,5,2026-05-21 05:35:58
"Eror ketika login sering keluar""sendiri",1,2026-05-21 05:20:47
"DELAYNYA LAMA BANGET, SAYA DI TRANSFER TEMAN DARI BANK BERBEDA, TRANSFER SUKSES TAPI GAK MASUK MASUK DI WONDR SAYA, DELAYNYA 3 HARI BANGET",1,2026-05-21 05:19:50
ok,5,2026-05-21 05:03:45
Aplikasi ini sangat membantu 👏👏👍👍,5,2026-05-21 05:03:01
mantap,5,2026-05-21 05:01:27
lebih cepat dan lebih lancar,5,2026-05-21 04:59:43
kandang,5,2026-05-21 04:48:36
aplikasi tidak bisa di buka pas di intro aplikasi,3,2026-05-21 04:43:52
"beda nya wondr dgn mbanking apa ya, knp harus di bikin 2 apk, mau beli pulsa listrik aja gak bisa, knpa bisa di permudah kalau bisa di persulit?",2,2026-05-21 04:39:37
mantabbb,5,2026-05-21 04:29:24
bagus,5,2026-05-21 04:13:32
bagus sekali,5,2026-05-21 04:08:03
sangat bagus,5,2026-05-21 03:55:40
setelah di upgrade malah lemot tak mau di buka.,1,2026-05-21 03:54:23
cukup membantu,5,2026-05-21 03:50:55
nyusahin. harus ke CS buat aktivasi nya. tidak sebaik BSN. ganti aplikasi ya tinggal login untuk aktivasi,1,2026-05-21 03:36:33
kerennn,5,2026-05-21 03:28:00
"wondr asu....bikin ribet aja mau buka rekening,,,inimah kalo ga collab ama kampus mah ga gua download ni aplikasi asu",5,2026-05-21 03:27:27
"benar benar sangat membantu saya dalam kehidupan ini, terima kasih wonder by BNI,sukses selalu🙏🙏🙏🙏",5,2026-05-21 03:23:50
good,5,2026-05-21 03:15:46
"ini apk bnyak bug nya,loading pas di klik aplikasi lama muncul masukin id & pasword pdhal jaringan aman"" aja",1,2026-05-21 02:36:02
BNI makin maju tehnologi nya,5,2026-05-21 02:08:55
"enak banget pake mbanhking dari BNi,semoga dikemudian hari saya bisa jdi BNi prioritas",5,2026-05-21 01:56:41
Sangat baik dan mudah digunakan aplikasinya. Tingkatkan lagi agar lebih baik dari yang baik.,5,2026-05-21 01:43:21
sangat berguna,5,2026-05-21 01:42:26
sangat bagus dan mudah digunakan,5,2026-05-21 01:39:15
keren,5,2026-05-21 01:37:37
sangat mudah dan sangat membantu,5,2026-05-21 01:35:20
mantap biaya geratis sukses terus BNI,5,2026-05-21 01:34:44
okay,5,2026-05-21 01:09:59
tolong perbaiki wonder saya sudah 3 hari kagak bisa kebuka,5,2026-05-21 01:04:32
Apk yg sangat bagus.. memudahkan semua transaksi.. mksh wondr BNI,5,2026-05-21 00:54:58
transaksi lebih cepat,4,2026-05-21 00:43:54
sukses selalu,5,2026-05-21 00:37:29
mantap.. tanpa kendala bos,5,2026-05-21 00:35:51
Tingkatkan lagi pelayanannnya,5,2026-05-21 00:20:38
sangat baik,5,2026-05-21 00:04:41
👍,5,2026-05-20 23:57:16
Layanan Cepat & Mudah,5,2026-05-20 23:42:35
lumayan bgus,2,2026-05-20 23:20:43
BNI memang merupakan Bank BUMN yang profesional dalam hal Terget layanan masyarakat luas,5,2026-05-20 22:40:21
di,5,2026-05-20 21:31:29
bagus banget suka banget dngn fitur BNI yg skrng,5,2026-05-20 19:11:14
